                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1051,                0.80387,                 1.1999,                0.64287,                0.59024,                0.64506,                0.44656,                 1.2769,                0.74515,                 1.3224,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.1143,                0.81063,                 1.2037,                0.63471,                0.59172,                0.64316,                0.44757,                 1.2696,                0.74108,                  1.317,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.0971,                0.79788,                 1.1929,                0.62664,                0.59391,                0.63825,                0.44043,                 1.2747,                0.74302,                 1.3233,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.0864,                0.79727,                 1.1872,                0.67734,                0.65366,                0.64982,                0.45007,                 1.2792,                0.73755,                 1.3257,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.0929,                0.79384,                 1.1937,                0.62734,                0.66939,                0.64667,                0.44669,                 1.2805,                0.73653,                 1.3306,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.0923,                0.79081,                 1.1911,                0.64754,                0.58416,                0.64096,                0.44365,                 1.2798,                0.73976,                 1.3266,                0.00026,                0.00026,                0.00026
                     83,                 1.0895,                0.79179,                 1.1918,                0.64401,                0.59227,                0.64693,                0.44676,                 1.2811,                0.74149,                 1.3314,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.0755,                0.78204,                 1.1822,                0.62726,                0.60113,                0.63943,                0.43984,                 1.2795,                0.74232,                 1.3293,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.0767,                0.77805,                  1.183,                0.63483,                0.59587,                0.63861,                0.44051,                 1.2822,                0.74312,                 1.3289,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.0734,                0.77511,                 1.1784,                0.64002,                0.59119,                0.63891,                0.44147,                 1.2789,                0.73527,                 1.3297,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.0723,                0.77214,                 1.1796,                0.64222,                0.59513,                0.64005,                0.44286,                 1.2748,                0.73247,                 1.3272,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.0682,                0.76687,                  1.179,                0.63786,                0.60231,                0.64275,                0.44431,                 1.2739,                0.73121,                 1.3239,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.0782,                0.77371,                 1.1858,                0.63561,                 0.6037,                0.64053,                0.44396,                 1.2729,                0.73011,                 1.3224,             0.00017338,             0.00017338,             0.00017338
                     90,                  1.066,                0.77024,                 1.1751,                0.63831,                0.59856,                0.63892,                0.44267,                 1.2763,                 0.7292,                 1.3282,               0.000161,               0.000161,               0.000161
                     91,                 1.0119,                0.62974,                 1.1407,                0.64984,                0.59289,                0.63737,                0.43979,                 1.2813,                0.73103,                 1.3315,             0.00014862,             0.00014862,             0.00014862
                     92,                0.99921,                0.61061,                 1.1378,                0.65097,                0.59715,                0.63818,                0.43943,                 1.2814,                0.73258,                 1.3336,             0.00013625,             0.00013625,             0.00013625
                     93,                0.98333,                0.59722,                 1.1307,                0.64774,                0.59688,                0.63861,                0.44039,                 1.2794,                0.73472,                 1.3349,             0.00012387,             0.00012387,             0.00012387
                     94,                0.97723,                0.58989,                 1.1252,                 0.6381,                0.59895,                0.63877,                0.44052,                 1.2822,                0.73395,                 1.3359,              0.0001115,              0.0001115,              0.0001115
                     95,                0.97715,                0.58983,                 1.1253,                0.63718,                 0.6044,                 0.6388,                0.44052,                 1.2875,                0.73546,                 1.3438,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.96912,                0.58046,                 1.1192,                0.64129,                 0.6035,                0.64077,                0.44045,                 1.2877,                0.73584,                 1.3401,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.96103,                0.56972,                 1.1162,                0.64007,                0.60669,                0.64078,                0.44231,                 1.2897,                0.73526,                 1.3421,             7.4375e-05,             7.4375e-05,             7.4375e-05
